kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap
Imigran Ilegal,,01/10/2016,22:45,124.2744902,4.01196458,Laut Sulawesi,MV Ancylus,Mali,Kpl Selam,246,IMO 65918,KYX202510,52659,Lego,PT. Primajaya Abadi Logistik,Yoann Poulard,Kawaluso,Selat Panjang,Pakusadewo,French Southern & Antarctic Lands,,,,D,3,TNI AD,Survey/Kpl Survei
Imigran Ilegal,,13/07/2019,13:10,127.9310385,-4.90889442,Laut Banda,SS Nomadic,Vanuatu,Kpl Kayu,186,IMO 81789,VQH92618,84887,Lego,PT. Anggun Cipta Internusa,Valdas Adamkus,Baranusa,Serasan,Oldfield,Kuwait,,,,F,1,TNI AU,Kpl Penyelamat/Lifeboat
Imigran Ilegal,,10/10/2016,21:05,134.075038,1.74488982,Laut Halmahera,MT Haven,Cuba,Kpl Derek/Crane,197,IMO 29837,YZC10422,15297,Sandar,Standard Chartered Bank,Ion Creang,Dawi-dawi,Dawi-dawi,Mueller-Stahl,Norfolk I.,,,,B,6,Bea Cukai,Tug Boat/Kpl Tunda
Imigran Ilegal,,25/08/2016,12:50,127.9940757,-6.57271802,Laut Banda,SS American Victory,Algeria,Kpl Peti Kemas/Container,191,IMO 42621,KZP92321,43863,Layar,Sendok Piring/Resto,Latupeirissa,Manipa,Bagan Asahan,Diori,Jan Mayen,,,,B,5,TNI,Tanker
Imigran Ilegal,,28/11/2016,09:35,122.2845455,2.16825369,Laut Sulawesi,MV Monchegorsk,Togo,Kpl Layar,193,IMO 82239,HGB1629,56294,Lego,Mega Resources Textil Agency,McClain,Tanjung Balai Karimun,Jinato,Darren O'Dea,Portugal,,,,E,1,Bea Cukai,Kpl Layar
Imigran Ilegal,,18/01/2017,02:00,116.8969803,-6.82879672,Laut Flores,Histria Coral,Seychelles,Speed Boat,229,IMO 29768,PDB25258,65416,Lego,PT. Mitra Berjaya Sukses Sejahtera,Reka,Sungai Pakning,Sei Berombang,Karnavian,Jarvis I.,,,,B,1,Bakamla,Kpl Kayu
Imigran Ilegal,,29/05/2016,04:45,127.6570209,-6.79863498,Laut Banda,SS Belgic |||,St. Kitts & Nevis,Bulker/Kpl Pengangkut Barang Curah,146,IMO 43625,VQX202523,65538,Lego,PT. Bee Bersama Kargo,Rendra,Laiwui,Leksula,A Flock of Seagulls,Serbia,,,,A,2,Polri,Kpl Penyelamat/Lifeboat
Imigran Ilegal,,18/10/2014,09:40,119.9515868,-7.27347951,Laut Flores,MV Craigantlet,Maldives,Kargo/Barang,150,IMO 85356,MUC242623,86943,Lego,PT. Ekamatra Rizqi Anugrah,Milstein,Pulau Sambu,Tabarfane,Tyo Nugros,Germany,,,,A,6,TNI,Tug Boat/Kpl Tunda
Imigran Ilegal,,26/09/2017,13:35,128.640287,-5.47694577,Laut Banda,USS Bali (ID-2483),Paraguay,Kpl Layar,165,IMO 26477,IER151925,65921,Sandar,PT. Ekamatra Rizqi Anugrah,Gradel,Bicoli,Susoh,Roderick MacKinnon,Egypt,,,,F,6,Bakamla,Tanker
Imigran Ilegal,,02/07/2017,17:55,119.0888037,-6.96859266,Laut Flores,MT Stolt Valor,Papua New Guinea,Kpl Pengebor/Drillship,106,IMO 74348,OHB10111,67818,Sandar,PT. Andalan Mandiri Ekspress,Schmidt,Pattirobajo,Fani,Michael E. Brown,Morocco,,,,C,2,Bea Cukai,Kpl Layar
Imigran Ilegal,,30/05/2019,20:35,132.7467787,0.29523947,Laut Halmahera,MV Amastra,Tokelau,Kpl Peti Kemas/Container,221,IMO 34533,ADF231613,38194,Layar,PT. Jala Sutera Indoraya,Daniel Ortega,Geser,Teluk Palu,Fauzan Zaman,Sao Tome & Principe,,,,E,4,Bakamla,Kargo/Barang
Imigran Ilegal,,08/12/2019,04:15,123.7922746,3.1457821,Laut Sulawesi,USS Allioth (AK-109),Sao Tome & Principe,Tanker,241,IMO 73387,PJP1562,97832,Lego,PT. Jaha Buana Lestari,Hsien Loong,Sofifi,Jayapura,Radja Nainggolan,Turkey,,,,A,4,TNI AD,Kpl Ro-Ro
Imigran Ilegal,,14/03/2018,18:55,129.8808616,-0.13608089,Laut Halmahera,MV Empire MacKay,Vietnam,Penumpang,103,IMO 81878,YBC171423,82336,Layar,PT. Nusantara Ekspress,David Luiz,Menggala,Legon Bajak,M. Pandji Anom,Rwanda,,,,A,5,TNI,Kpl Ikan
Imigran Ilegal,,28/05/2014,13:30,126.729609,-6.62650243,Laut Banda,MV Karen Danielsen,Greenland,Penumpang,122,IMO 55254,EOA12121,77548,Sandar,Game Master,Muhammad Lukman Edy,Kendari,Moor,Freno,Jan Mayen,,,,B,6,KKP,Kpl Peti Kemas/Container
Imigran Ilegal,,10/09/2017,20:40,137.9256035,0.33089413,Laut Halmahera,SS Prospector,Palau,Kpl Ro-Ro,154,IMO 39198,AYE21016,99257,Sandar,CV. Graha Multi Sarana,Petta,Ilwaki,Sungai Lumpur,Marlia Hardi,Niger,,,,D,5,TNI AL,Kpl Layar
Imigran Ilegal,,02/01/2014,16:30,131.254464,2.32755369,Laut Halmahera,"Gudrun Mærsk, container ship for Maersk Line",Canada,Kpl Derek/Crane,218,IMO 81345,PHW16815,65278,Sandar,Game Master,Fabbro,Fani,Gunung Sitoli,Gigliotti,Faroe Is.,,,,A,2,TNI,Kpl Selam
Imigran Ilegal,,05/04/2019,05:55,107.16682,-3.89327,Laut Jawa,USS Arided (AK-73),Mayotte,Kpl Pengebor/Drillship,242,IMO 69332,LNF12418,31154,Lego,Kharisma Abadi,Dionysius Hayom Rumbaka,Dawai,Tabarfane,Daus Separo,Reunion,,,,D,1,Bea Cukai,Tongkang
Imigran Ilegal,,27/07/2019,17:20,109.48882,-4.21753,Laut Jawa,SS Ideal X,British Virgin Is.,Bulker/Kpl Pengangkut Barang Curah,206,IMO 49779,FXJ221616,65369,Sandar,PT. Tushimaro Express,Abdelaziz,Ketapang,Tepeleo/Tapaleo,Manu,French Polynesia,,,,D,3,TNI,Kpl Derek/Crane
Imigran Ilegal,,13/07/2018,14:35,132.1919731,0.01331382,Laut Halmahera,SS Fredericksburg,Bangladesh,Kpl Ro-Ro,156,IMO 76978,FHR2116,31556,Sandar,PT. Indonusa Putra Mandiri,Wladimir,Pam,Oepoli,Leyti N'Diaye,Brazil,,,,F,5,TNI AU,Tug Boat/Kpl Tunda
Imigran Ilegal,,01/03/2019,09:55,126.0076403,-5.84193866,Laut Banda,CMA CGM Thalassa,Indonesia,Kpl Kayu,159,IMO 18859,XNP111511,24534,Layar,PT. Trimudilah Inti Mandiri,Luigi Pirandello,Baranusa,Cilacap,Elvandari,Netherlands Antilles,,,,A,2,Bakamla,Kpl Pesiar
Imigran Ilegal,,05/10/2016,02:30,108.08413,-4.88984,Laut Jawa,MV Sea Star,Antarctica,Kpl Nelayan,150,IMO 88556,ZKH1624,88527,Layar,PT. Jala Sutera Indoraya,Nana Riskhi Susanti,Pasokan,Juwana,Sutiyono,Antarctica,,,,E,2,Bakamla,Tongkang
Imigran Ilegal,,20/10/2015,00:10,130.5645642,-4.66802749,Laut Banda,SS Gallic,Gibraltar,Survey/Kpl Survei,191,IMO 81661,LSH7413,68157,Lego,PT. Cargo Andalan Nusantara,Yon Koeswoyo,Wulur,Lewoleba,Nurdiansyah,St. Helena,,,,C,6,KKP,Kpl Layar
Imigran Ilegal,,02/05/2015,17:45,135.5671649,0.41202884,Laut Halmahera,MCP Altona,Cayman Is.,Kpl Layar,208,IMO 76942,EOZ1224,25332,Layar,PT. Bank Nisp,Sultan Zainal Rashid Al Mu'adzam Shah I,Liana Banggai,Maumere /Laurentius Say,Adi Sasono,Brazil,,,,A,3,KKP,Speed Boat
Imigran Ilegal,,15/07/2017,13:15,110.43369,-5.21525,Laut Jawa,MV Maj. Bernard F. Fisher (T-AK-4396),Ukraine,Kpl Pengeruk/Dredger,111,IMO 73794,OES251413,63273,Layar,PT. CiPTa Pesona Buana,Lloris,Hatu Piru,Gilimanuk,Immanuel Velikovsky,Cook Is.,,,,D,3,Bakamla,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,09/01/2017,11:30,137.5838851,1.30393294,Laut Halmahera,"Onaiza, LNG Tanker",Ecuador,Supply Ship,172,IMO 41652,HYY15241,43884,Lego,PT. Transindo Xpress,Belaetrix,Pelita,Jayapura,Letisha,Czech Republic,,,,A,3,Bea Cukai,Penumpang
Imigran Ilegal,,23/05/2017,07:15,119.8789241,-7.05915371,Laut Flores,MV Empire MacMahon,Chad,Bulker/Kpl Pengangkut Barang Curah,201,IMO 39498,PSV222620,38194,Lego,PT. Transindo Xpress,Sankara,Marunda,Ternate,Sander Boschker,Russia,,,,C,3,TNI AD,Kpl Layar
Imigran Ilegal,,25/09/2018,02:15,107.55231,-5.79704,Laut Jawa,MV Biscaglia,Montenegro,Tongkang,120,IMO 72358,JGP81417,32359,Sandar,Mega Resources Textil Agency,Noh Alam Shah,Tutu Kembong,Tutu Kembong,Solihin,Greenland,,,,F,4,Bea Cukai,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,25/06/2018,03:15,118.018286,-8.0172114,Laut Flores,SS Prospector,Bermuda,Kpl Peti Kemas/Container,194,IMO 74442,WOR231010,66322,Layar,PT. Atlas Transindo Raya,Kamidia Radisti,Tapaktuan,Waingapu,Johannes Rau,Antarctica,,,,D,3,Bea Cukai,Kpl Ikan
Imigran Ilegal,,18/10/2018,13:25,106.94322,-4.64496,Laut Jawa,MV Colombo Express,Malawi,Kpl Selam,238,IMO 79293,GBC201617,94176,Sandar,Asuransi Jiwa Bumi Putra 1912,Hartati,Benete,Ambon,Alfian Yusuf Helmi,Barbados,,,,B,6,TNI AD,Survey/Kpl Survei
Imigran Ilegal,,27/10/2015,13:45,120.5793015,3.64188724,Laut Sulawesi,MV Resolution Bay,Moldova,Kpl Peti Kemas/Container,231,IMO 99315,SGL232120,43331,Layar,PT. Catur Ekapurcanga Indah,Ismed M.,Bunyu,Lembar,Sibghatullah,Mali,,,,D,4,Bakamla,Speed Boat
Imigran Ilegal,,31/08/2015,21:35,118.3973554,-6.93401327,Laut Flores,SS Belgic,Suriname,Kargo/Barang,206,IMO 42687,QUK893,44342,Sandar,PT. Pumasera Mitra Sejahtera,smet,Gunung Sitoli,Saukorem,Vilhena,Romania,,,,D,3,TNI AD,Tongkang
Imigran Ilegal,,05/08/2016,15:20,120.171454,-7.27607068,Laut Flores,Astron,Timor-Leste,Penumpang,204,IMO 74621,VCQ1632,68288,Sandar,PT. Trans Anugrah Logistik,Borgo,Wini,Waiwole,Asner,Montserrat,,,,D,1,Bakamla,Kpl Pengebor/Drillship
Imigran Ilegal,,08/06/2019,06:00,136.2259486,1.58715213,Laut Halmahera,Histria Azure,Senegal,Kpl Penyelamat/Lifeboat,129,IMO 81926,FRD102218,66611,Lego,PT. Top Express International,Jean Ven Robert Hal,Branta,Wani,Prparim,Barbados,,,,A,2,Bea Cukai,Kpl Pesiar
Imigran Ilegal,,12/07/2019,01:00,117.9658075,-7.15159732,Laut Flores,SS Nomadic,Jordan,Kpl Ro-Ro,154,IMO 54816,IEU9112,19185,Lego,PT. Waskita Elang Perkasa,Perl,Sikeli,Laiwui,Maria Ulfah,Colombia,,,,D,5,KKP,Kargo/Barang
Imigran Ilegal,,20/03/2015,10:50,118.3357567,-7.84343016,Laut Flores,SS Bardic,Uzbekistan,Kpl Militer,198,IMO 37814,EGT251122,14925,Layar,PT. Garuda Tama Indonesia,Youri Loen,Jepara,Teluk Sigintung/Seruyan,Alton,Nicaragua,,,,F,2,TNI AU,Kpl Ikan
Imigran Ilegal,,07/08/2016,23:35,120.1436445,-7.7839237,Laut Flores,U-Sea Colonsay,Bulgaria,Tug Boat/Kpl Tunda,225,IMO 15169,ZDM20214,81581,Layar,Sendok Piring/Resto,Mayfield,Teluk Melano/Teluk Batang,Boom Baru/Palembang,Jagielka,Benin,,,,E,3,KKP,Kpl Nelayan
Imigran Ilegal,,11/09/2014,21:15,134.8637582,0.61058831,Laut Halmahera,MV DenDen,Mauritania,Kpl Ro-Ro,238,IMO 16431,RBI51417,57897,Sandar,PT. Sinar Anugerah Eka,Brugman,Dawera/Dawelor,Batang,Charles Wesley,Nigeria,,,,A,6,Bakamla,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,12/04/2019,08:30,132.7325008,-0.10956946,Laut Halmahera,Altmark,Bhutan,Kpl Pesiar,171,IMO 82893,LJJ1369,71229,Lego,PT. Tata Kelola Mandiri,Orie,Sintete,Kisar,Egidia Sawitri,North Korea,,,,D,5,TNI AU,Tongkang
Imigran Ilegal,,03/04/2018,19:35,130.9884509,0.72777255,Laut Halmahera,MSC Napoli,Mongolia,Kpl Layar,238,IMO 68252,NNW12257,17735,Lego,PT. Ravera Angkasa Mandiri,of Hesselink,Sigli,Bunyu,Tigran Sargsyan,Serbia,,,,C,1,TNI AD,Kpl Nelayan
Imigran Ilegal,,15/12/2017,19:10,127.3202893,-5.16749853,Laut Banda,USS Aludra (AK-72),Vietnam,Kpl Militer,219,IMO 28259,GXO102526,62488,Layar,PT. Dexter Ekspressindo,Pavle Ninkov,Kotiti,Dumai,Gyula Horn,Antarctica,,,,A,4,TNI AL,Kpl Selam
Imigran Ilegal,,23/02/2017,06:05,121.0717583,2.76955067,Laut Sulawesi,Osaka Express,Antarctica,Kpl Pemadam Kebakaran/Fireboat,148,IMO 71863,VSA131920,29259,Sandar,PT. Top Express,ngel Lpez,Tanjung Beringin,Kawio,Ekaphan,Congo,,,,D,5,TNI AD,Kpl Militer
Imigran Ilegal,,26/07/2018,07:20,125.0971548,-4.42391189,Laut Banda,Hudson Cavalier,Bangladesh,Tug Boat/Kpl Tunda,176,IMO 25294,ROS182525,16673,Layar,PT. Astragraphia Xprins indonesia,Dessena,Sapeken,Labuhan Maringgai,Darbion,Tunisia,,,,B,4,Bakamla,Kpl Nelayan
Imigran Ilegal,,20/06/2019,14:50,126.4689322,-6.39050206,Laut Banda,SS Tauric,Swaziland,Kpl Pengeruk/Dredger,192,IMO 98735,EJN231012,41986,Lego,PT. Xpresindo Courier,Yanu Kresnayandi,Belopa,Dumai,Richard Nixon,Papua New Guinea,,,,F,6,KKP,Kargo/Barang
Imigran Ilegal,,26/05/2017,18:00,110.03816,-5.60977,Laut Jawa,Akebono Maru,India,Kpl Pengeruk/Dredger,203,IMO 46427,MUE24251,14437,Sandar,PT. Trans Binatama Indonesia,Castelo Branco,Eray/Upisera,Saparua/Haria,Toshihide Maskawa,Trinidad & Tobago,,,,A,1,TNI AD,Kpl Peti Kemas/Container
Imigran Ilegal,,19/11/2016,04:35,122.4047429,3.28884151,Laut Sulawesi,Quinquereme,Nicaragua,Kpl Pemerintah,210,IMO 73928,IDC13201,95389,Lego,PT. Wira Andalan Sukses,Derk,Tanjung Wangi,Kataloka/Ondor,Takayama,Canada,,,,A,3,KKP,Supply Ship
Imigran Ilegal,,29/01/2019,04:30,129.5348263,-5.70531978,Laut Banda,USS Bali (ID-2483),Thailand,Penumpang,223,IMO 45611,BYL41810,11461,Layar,PT. Indoexpress Logistics,Louis-Dreyfus,Meulaboh,Atapupu,Lovren,Uruguay,,,,D,2,Bea Cukai,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,23/12/2015,01:25,109.9869,-5.19346,Laut Jawa,MV Biscaglia,St. Lucia,Kargo/Barang,132,IMO 27597,AZV865,85496,Layar,PT. Mitra Buana Express,Tamaki,Tanjung Santan,Asiki,Luigi Einaudi,India,,,,E,5,TNI AL,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,29/01/2016,06:00,137.4186541,0.76015419,Laut Halmahera,Amoco Cadiz,Cape Verde,Penumpang,179,IMO 99526,ZZN17826,34145,Layar,Bp.Karya Mandiri,Joseph Barbera,Una-Una,Waren,Trotta,Dominican Republic,,,,E,2,Bakamla,Kpl Pesiar
